,osm_obj_type,latitude,longitude,unit,street_no,street_name,osm_tag,full_address,request_address
37418,way,45.2739348,-75.756839,,75,Dolan Drive,house,"75 Dolan drive, Ottawa, ON","75 Dolan drive, Ottawa, ON"
159625,way,45.3680875,-75.7236718,,930,Baseline Road,house,"930 Baseline road, Ottawa, ON","930 Baseline road, Ottawa, ON"
237184,way,45.4732694,-75.4536264,,213,Rustic Hills Crescent,house,"213 Rustic hills crescent, Ottawa, ON","213 Rustic hills crescent, Ottawa, ON"
247328,way,45.4328853,-75.6855139,,340,Murray Street,house,"340 Murray street, Ottawa, ON","340 Murray street, Ottawa, ON"
175061,way,45.4373354,-75.6395448,,615,Québec Street,house,"615 Québec street, Ottawa, ON","615 Québec street, Ottawa, ON"
247764,way,45.3926414,-75.6847996,,46,Hopewell Avenue,house,"46 Hopewell avenue, Ottawa, ON","46 Hopewell avenue, Ottawa, ON"
235309,way,45.4364507,-75.6364297,,820,Rainsford Avenue,house,"820 Rainsford avenue, Ottawa, ON","820 Rainsford avenue, Ottawa, ON"
136813,way,45.4430838,-75.6724469,,29,Acacia Avenue,house,"29 Acacia avenue, Ottawa, ON","29 Acacia avenue, Ottawa, ON"
8705,way,45.4061342,-75.6600294,,1658,Alta Vista Drive,house,"1658 Alta vista drive, Ottawa, ON","1658 Alta vista drive, Ottawa, ON"
160510,way,45.3443388,-75.6641491,,2273,Cotter's Crescent,house,"2273 Cotter's crescent, Ottawa, ON","2273 Cotter's crescent, Ottawa, ON"
245449,way,45.3425415,-75.6362552,,3883,Albion Road,house,"3883 Albion road, Ottawa, ON","3883 Albion road, Ottawa, ON"
204278,way,45.3657442,-75.7059067,,980,Meadowlands Drive,house,"980 Meadowlands drive, Ottawa, ON","980 Meadowlands drive, Ottawa, ON"
243183,way,45.4231958,-75.5987599,,1533,Beaverpond Drive,house,"1533 Beaverpond drive, Ottawa, ON","1533 Beaverpond drive, Ottawa, ON"
18471,way,45.4192346,-75.4327311,,1047,Smith Road,house,"1047 Smith road, Ottawa, ON","1047 Smith road, Ottawa, ON"
249500,way,45.4332199,-75.6360219,,932 B,Cummings Avenue,house,"932 B Cummings avenue, Ottawa, ON","932 B Cummings avenue, Ottawa, ON"
196467,way,45.3330115,-75.7467212,,137,Benlea Drive,house,"137 Benlea drive, Ottawa, ON","137 Benlea drive, Ottawa, ON"
236071,way,45.4261836,-75.6119549,,1309,Marigold Crescent,house,"1309 Marigold crescent, Ottawa, ON","1309 Marigold crescent, Ottawa, ON"
81879,way,45.3280496,-75.7783126,,52,Elvaston Avenue,house,"52 Elvaston avenue, Ottawa, ON","52 Elvaston avenue, Ottawa, ON"
245431,way,45.3393517,-75.6313642,,3661,Aladdin Lane,house,"3661 Aladdin lane, Ottawa, ON","3661 Aladdin lane, Ottawa, ON"
259880,way,45.4249333,-75.6737662,,335,Somerset Street East,house,"335 Somerset street east, Ottawa, ON","335 Somerset street east, Ottawa, ON"
10415,way,45.4793291,-75.5238745,,1109,Bouleaux Place,house,"1109 Bouleaux place, Ottawa, ON","1109 Bouleaux place, Ottawa, ON"
229058,way,45.3502637,-75.6805157,9.0,3205,Uplands Drive,house,"9-3205 Uplands drive, Ottawa, ON","3205 Uplands drive, Ottawa, ON"
204374,way,45.3606092,-75.7099241,,1097 B,Normandy Crescent,house,"1097 B Normandy crescent, Ottawa, ON","1097 B Normandy crescent, Ottawa, ON"
116334,way,45.2746469,-75.6871464,,753,Hot Springs Way,house,"753 Hot springs way, Ottawa, ON","753 Hot springs way, Ottawa, ON"
221155,way,45.4314055,-75.559937,,2184,Orient Park Drive,house,"2184 Orient park drive, Ottawa, ON","2184 Orient park drive, Ottawa, ON"
206157,way,45.4004836,-75.7183346,,133,Young Street,house,"133 Young street, Ottawa, ON","133 Young street, Ottawa, ON"
163468,way,45.3656177,-75.6812952,,32,Sandhurst Court,house,"32 Sandhurst court, Ottawa, ON","32 Sandhurst court, Ottawa, ON"
239771,way,45.4338697,-75.6809402,7.0,5,Heney Street,house,"7-5 Heney street, Ottawa, ON","5 Heney street, Ottawa, ON"
234806,way,45.3937907,-75.6080042,27.0,2669,Southvale Crescent,house,"27-2669 Southvale crescent, Ottawa, ON","2669 Southvale crescent, Ottawa, ON"
