,osm_obj_type,latitude,longitude,unit,street_no,street_name,osm_tag,full_address,request_address
172892,way,45.399398,-75.6198473,91,2415,Southvale Crescent,house,"91-2415 Southvale crescent, Ottawa, ON","2415 Southvale crescent, Ottawa, ON"
229420,way,45.4393649,-75.6463289,7,639,Morin Street,house,"7-639 Morin street, Ottawa, ON","639 Morin street, Ottawa, ON"
235861,way,45.4281672,-75.6212272,212,1427,Palmerston Drive,house,"212-1427 Palmerston drive, Ottawa, ON","1427 Palmerston drive, Ottawa, ON"
225927,way,45.3676819,-75.703724,2,960,Debra Avenue,house,"2-960 Debra avenue, Ottawa, ON","960 Debra avenue, Ottawa, ON"
162447,way,45.3493979,-75.6373722,66,3691,Albion Road,house,"66-3691 Albion road, Ottawa, ON","3691 Albion road, Ottawa, ON"
217152,way,45.3801065,-75.6499219,18,1585,Heron Road,house,"18-1585 Heron road, Ottawa, ON","1585 Heron road, Ottawa, ON"
229926,way,45.4483407,-75.594322,17,2111,Montréal Road,house,"17-2111 Montréal road, Ottawa, ON","2111 Montréal road, Ottawa, ON"
247622,way,45.4491045,-75.5873599,17,977,Shefford Road,house,"17-977 Shefford road, Ottawa, ON","977 Shefford road, Ottawa, ON"
229233,way,45.3466296,-75.6651206,45,840,Cahill Drive West,house,"45-840 Cahill drive west, Ottawa, ON","840 Cahill drive west, Ottawa, ON"
242819,way,45.3733685,-75.5999195,55,181,Forestglade Crescent,house,"55-181 Forestglade crescent, Ottawa, ON","181 Forestglade crescent, Ottawa, ON"
229763,way,45.4496759,-75.5952359,15,2300,Ogilvie Road,house,"15-2300 Ogilvie road, Ottawa, ON","2300 Ogilvie road, Ottawa, ON"
234886,way,45.3997798,-75.6198422,26,2415,Southvale Crescent,house,"26-2415 Southvale crescent, Ottawa, ON","2415 Southvale crescent, Ottawa, ON"
178075,way,45.4494109,-75.5950353,20,2300,Ogilvie Road,house,"20-2300 Ogilvie road, Ottawa, ON","2300 Ogilvie road, Ottawa, ON"
239486,way,45.4357035,-75.6806521,26,3,Desjardins Avenue,house,"26-3 Desjardins avenue, Ottawa, ON","3 Desjardins avenue, Ottawa, ON"
177764,way,45.4492383,-75.5941784,39,2111,Montréal Road,house,"39-2111 Montréal road, Ottawa, ON","2111 Montréal road, Ottawa, ON"
225982,way,45.3675614,-75.7055799,69,955,Debra Avenue,house,"69-955 Debra avenue, Ottawa, ON","955 Debra avenue, Ottawa, ON"
172830,way,45.399663,-75.6195866,30,2415,Southvale Crescent,house,"30-2415 Southvale crescent, Ottawa, ON","2415 Southvale crescent, Ottawa, ON"
161850,way,45.3689532,-75.7048116,59,920,Dynes Road,house,"59-920 Dynes road, Ottawa, ON","920 Dynes road, Ottawa, ON"
248511,way,45.4139009,-75.7034508,7,518,Lisgar Street,house,"7-518 Lisgar street, Ottawa, ON","518 Lisgar street, Ottawa, ON"
222583,way,45.3532314,-75.6670325,55,200,Owl Drive,house,"55-200 Owl drive, Ottawa, ON","200 Owl drive, Ottawa, ON"
239497,way,45.4354537,-75.680663,19,3,Desjardins Avenue,house,"19-3 Desjardins avenue, Ottawa, ON","3 Desjardins avenue, Ottawa, ON"
239745,way,45.4309489,-75.6838247,11,190,Beausoleil Drive,house,"11-190 Beausoleil drive, Ottawa, ON","190 Beausoleil drive, Ottawa, ON"
234896,way,45.3995258,-75.6193515,33,2415,Southvale Crescent,house,"33-2415 Southvale crescent, Ottawa, ON","2415 Southvale crescent, Ottawa, ON"
239797,way,45.4334966,-75.6800942,24,20,Heney Street,house,"24-20 Heney street, Ottawa, ON","20 Heney street, Ottawa, ON"
239299,way,45.4376338,-75.6535844,18,380,Montréal Road,house,"18-380 Montréal road, Ottawa, ON","380 Montréal road, Ottawa, ON"
227674,way,45.4306163,-75.648545,17,928,Moorvale Street,house,"17-928 Moorvale street, Ottawa, ON","928 Moorvale street, Ottawa, ON"
239435,way,45.4434758,-75.6637437,27,155,Lebrun Street,house,"27-155 Lebrun street, Ottawa, ON","155 Lebrun street, Ottawa, ON"
239762,way,45.4332554,-75.6812211,62,10,Heney Street,house,"62-10 Heney street, Ottawa, ON","10 Heney street, Ottawa, ON"
239260,way,45.4412224,-75.651712,2,409,Montfort Street,house,"2-409 Montfort street, Ottawa, ON","409 Montfort street, Ottawa, ON"
229165,way,45.3487938,-75.6769507,39,3230,Uplands Drive,house,"39-3230 Uplands drive, Ottawa, ON","3230 Uplands drive, Ottawa, ON"
18741,way,45.4311058,-75.6848759,33,260,York Street,house,"33-260 York street, Ottawa, ON","260 York street, Ottawa, ON"
