,osm_obj_type,id,latitude,longitude,unit,street_no,street_name,osm_tag,full_address,request_address
238110,way,580287938,45.4303296,-75.5120857,,315,Elizabeth Cosgrove Private,apartments,"315 Elizabeth cosgrove private, Ottawa, ON","315 Elizabeth cosgrove private, Ottawa, ON"
120611,way,474026885,45.3604782,-75.7195509,,1208,Meadowlands Drive East,apartments,"1208 Meadowlands drive east, Ottawa, ON","1208 Meadowlands drive east, Ottawa, ON"
150898,way,480204906,45.4329315,-75.6530509,,7,Eastwood Place,apartments,"7 Eastwood place, Ottawa, ON","7 Eastwood place, Ottawa, ON"
227263,way,570571973,45.3078554,-75.899438,,260,Fenerty Court,apartments,"260 Fenerty court, Ottawa, ON","260 Fenerty court, Ottawa, ON"
146360,way,479763612,45.4321657,-75.621245,,1099,Cadboro Road,apartments,"1099 Cadboro road, Ottawa, ON","1099 Cadboro road, Ottawa, ON"
4753,way,241726465,45.3480062,-75.8106644,,53,Woodridge Crescent,apartments,"53 Woodridge crescent, Ottawa, ON","53 Woodridge crescent, Ottawa, ON"
135907,way,478630119,45.4402628,-75.6733341,,112,Barrette Street,apartments,"112 Barrette street, Ottawa, ON","112 Barrette street, Ottawa, ON"
306915,way,921828729,45.3269368,-75.909871,,4,Coady Way,apartments,"4 Coady way, Ottawa, ON","4 Coady way, Ottawa, ON"
6874,way,264547190,45.4095054,-75.7339706,,50,Emmerson Avenue,apartments,"50 Emmerson avenue, Ottawa, ON","50 Emmerson avenue, Ottawa, ON"
10559,way,359895140,45.4369333,-75.657955,,300,Lacasse Avenue,apartments,"300 Lacasse avenue, Ottawa, ON","300 Lacasse avenue, Ottawa, ON"
18866,way,458603957,45.4308769,-75.6944083,,90,Guigues Avenue,apartments,"90 Guigues avenue, Ottawa, ON","90 Guigues avenue, Ottawa, ON"
205904,way,549072488,45.3966217,-75.7128836,,317,Breezehill Avenue South,apartments,"317 Breezehill avenue south, Ottawa, ON","317 Breezehill avenue south, Ottawa, ON"
280029,way,618833485,45.385009,-75.6740658,,1201,Ohio Street,apartments,"1201 Ohio street, Ottawa, ON","1201 Ohio street, Ottawa, ON"
150599,way,480204458,45.4340869,-75.6519128,,404,Blake Boulevard,apartments,"404 Blake boulevard, Ottawa, ON","404 Blake boulevard, Ottawa, ON"
8601,way,314666148,45.3481012,-75.7179934,,265,Viewmount Drive,apartments,"265 Viewmount drive, Ottawa, ON","265 Viewmount drive, Ottawa, ON"
7581,way,295420235,45.4092045,-75.6876944,,118,Pretoria Avenue,apartments,"118 Pretoria avenue, Ottawa, ON","118 Pretoria avenue, Ottawa, ON"
2008,way,131639152,45.415539,-75.6922045,,295,Gilmour Street,apartments,"295 Gilmour street, Ottawa, ON","295 Gilmour street, Ottawa, ON"
5855,way,257615987,45.4173861,-75.6909133,,200,Somerset Street West,apartments,"200 Somerset street west, Ottawa, ON","200 Somerset street west, Ottawa, ON"
7777,way,305067826,45.4717776,-75.5301725,,6410,Lumberman Way,apartments,"6410 Lumberman way, Ottawa, ON","6410 Lumberman way, Ottawa, ON"
150836,way,480204830,45.4326854,-75.6524082,,5,Eastwood Place,apartments,"5 Eastwood place, Ottawa, ON","5 Eastwood place, Ottawa, ON"
6744,way,264181604,45.4157944,-75.7030786,,224,Lyon Street North,apartments,"224 Lyon street north, Ottawa, ON","224 Lyon street north, Ottawa, ON"
137163,way,478830334,45.4428679,-75.6759351,23,39,Putman Avenue,apartments,"23-39 Putman avenue, Ottawa, ON","39 Putman avenue, Ottawa, ON"
1389,way,68665301,45.4355494,-75.6763863,,111,Wurtemburg Street,apartments,"111 Wurtemburg street, Ottawa, ON","111 Wurtemburg street, Ottawa, ON"
5438,way,251834036,45.3813669,-75.7386703,,1398,Coldrey Avenue,apartments,"1398 Coldrey avenue, Ottawa, ON","1398 Coldrey avenue, Ottawa, ON"
238112,way,580287940,45.4309075,-75.5124085,,335,Elizabeth Cosgrove Private,apartments,"335 Elizabeth cosgrove private, Ottawa, ON","335 Elizabeth cosgrove private, Ottawa, ON"
20114,way,466690339,45.4280117,-75.6809683,,200,Stewart Street,apartments,"200 Stewart street, Ottawa, ON","200 Stewart street, Ottawa, ON"
842,way,68609303,45.3889262,-75.7605698,,491,Richmond Road,apartments,"491 Richmond road, Ottawa, ON","491 Richmond road, Ottawa, ON"
2046,way,131908844,45.4187528,-75.6959245,,110,Gloucester Street,apartments,"110 Gloucester street, Ottawa, ON","110 Gloucester street, Ottawa, ON"
227071,way,570547006,45.3502854,-75.7666001,,2077,Baseline Road,apartments,"2077 Baseline road, Ottawa, ON","2077 Baseline road, Ottawa, ON"
8030,way,307251322,45.4227502,-75.6555696,,248,Presland Road,apartments,"248 Presland road, Ottawa, ON","248 Presland road, Ottawa, ON"
5511,way,254830147,45.3824741,-75.7366621,,1335,Coldrey Avenue,apartments,"1335 Coldrey avenue, Ottawa, ON","1335 Coldrey avenue, Ottawa, ON"
297546,way,749843693,45.3892288,-75.7569854,,427,Ravenhill Avenue,apartments,"427 Ravenhill avenue, Ottawa, ON","427 Ravenhill avenue, Ottawa, ON"
533,way,68587753,45.3569013,-75.7963906,,2841,Richmond Road,apartments,"2841 Richmond road, Ottawa, ON","2841 Richmond road, Ottawa, ON"
1324,way,68661939,45.292727,-75.8698868,,485,Eagleson Road,apartments,"485 Eagleson road, Ottawa, ON","485 Eagleson road, Ottawa, ON"
150135,way,480073368,45.3491481,-75.6688238,,141,Twyford Street,apartments,"141 Twyford street, Ottawa, ON","141 Twyford street, Ottawa, ON"
289685,way,669410210,45.3790597,-75.6480512,,2826,Sandalwood Drive,apartments,"2826 Sandalwood drive, Ottawa, ON","2826 Sandalwood drive, Ottawa, ON"
136181,way,478630856,45.437787,-75.6660365,,164,Ethel Street,apartments,"164 Ethel street, Ottawa, ON","164 Ethel street, Ottawa, ON"
18658,way,458005410,45.4145678,-75.6890717,,250,Frank Street,apartments,"250 Frank street, Ottawa, ON","250 Frank street, Ottawa, ON"
18657,way,458005306,45.4145032,-75.6892401,,252,Frank Street,apartments,"252 Frank street, Ottawa, ON","252 Frank street, Ottawa, ON"
151013,way,480205065,45.4303807,-75.6529919,,390,Irwin Miller Street,apartments,"390 Irwin miller street, Ottawa, ON","390 Irwin miller street, Ottawa, ON"
5429,way,251834025,45.3828143,-75.7394663,,824,Kirkwood Avenue,apartments,"824 Kirkwood avenue, Ottawa, ON","824 Kirkwood avenue, Ottawa, ON"
6578,way,262870560,45.4001723,-75.7087909,,81,Norman Street,apartments,"81 Norman street, Ottawa, ON","81 Norman street, Ottawa, ON"
196672,way,546737506,45.3344151,-75.7962719,,19,Gladecrest Court,apartments,"19 Gladecrest court, Ottawa, ON","19 Gladecrest court, Ottawa, ON"
192138,way,543217659,45.4137621,-75.691514,,323,Frank Street,apartments,"323 Frank street, Ottawa, ON","323 Frank street, Ottawa, ON"
75691,way,472215069,45.4428626,-75.5246568,,2419,Pagé Road,apartments,"2419 Pagé road, Ottawa, ON","2419 Pagé road, Ottawa, ON"
288665,way,638327778,45.423167,-75.6814146,,624,King Edward Avenue,apartments,"624 King edward avenue, Ottawa, ON","624 King edward avenue, Ottawa, ON"
230826,way,574612819,45.2692466,-75.8907127,,320,Jatoba Private,apartments,"320 Jatoba private, Ottawa, ON","320 Jatoba private, Ottawa, ON"
237,way,60785016,45.4435419,-75.6430535,,1090,Kristin Way,apartments,"1090 Kristin way, Ottawa, ON","1090 Kristin way, Ottawa, ON"
227065,way,570545880,45.3508081,-75.7679618,,2094,Westbury Road,apartments,"2094 Westbury road, Ottawa, ON","2094 Westbury road, Ottawa, ON"
19127,way,459467869,45.4347379,-75.6936174,,208,Bolton Street,apartments,"208 Bolton street, Ottawa, ON","208 Bolton street, Ottawa, ON"
42276,way,470835685,45.2719548,-75.7080296,,555,Stonefield Private,apartments,"555 Stonefield private, Ottawa, ON","555 Stonefield private, Ottawa, ON"
260603,way,609304196,45.3628392,-75.7961214,,338,Zephyr Avenue,apartments,"338 Zephyr avenue, Ottawa, ON","338 Zephyr avenue, Ottawa, ON"
15472,way,441861824,45.4015916,-75.7214557,,91,Fairmont Avenue,apartments,"91 Fairmont avenue, Ottawa, ON","91 Fairmont avenue, Ottawa, ON"
247017,way,584077738,45.4350292,-75.6917705,,265,Cathcart Street,apartments,"265 Cathcart street, Ottawa, ON","265 Cathcart street, Ottawa, ON"
94524,way,472395722,45.3428455,-75.7554582,,151,Meadowlands Drive West,apartments,"151 Meadowlands drive west, Ottawa, ON","151 Meadowlands drive west, Ottawa, ON"
5560,way,255234690,45.4257668,-75.6813933,,232,Laurier Avenue East,apartments,"232 Laurier avenue east, Ottawa, ON","232 Laurier avenue east, Ottawa, ON"
6271,way,259633857,45.4255689,-75.6782612,,58,Russell Avenue,apartments,"58 Russell avenue, Ottawa, ON","58 Russell avenue, Ottawa, ON"
135848,way,478629965,45.4401402,-75.6735716,,100,Barrette Street,apartments,"100 Barrette street, Ottawa, ON","100 Barrette street, Ottawa, ON"
138357,way,478858977,45.3936717,-75.6854078,,337,Sunnyside Avenue,apartments,"337 Sunnyside avenue, Ottawa, ON","337 Sunnyside avenue, Ottawa, ON"
2113,way,147571474,45.3725914,-75.7836094,,30,McEwen Avenue,apartments,"30 Mcewen avenue, Ottawa, ON","30 Mcewen avenue, Ottawa, ON"
289830,way,670763848,45.3435383,-75.7647379,,371,Paseo Private,apartments,"371 Paseo private, Ottawa, ON","371 Paseo private, Ottawa, ON"
114614,way,473220091,45.4401968,-75.5962089,,1973,Jasmine Crescent,apartments,"1973 Jasmine crescent, Ottawa, ON","1973 Jasmine crescent, Ottawa, ON"
7914,way,307096413,45.3746192,-75.7322449,,1376,Trenton Avenue,apartments,"1376 Trenton avenue, Ottawa, ON","1376 Trenton avenue, Ottawa, ON"
8008,way,307250528,45.423876,-75.6528261,,10,Hart Avenue,apartments,"10 Hart avenue, Ottawa, ON","10 Hart avenue, Ottawa, ON"
